ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 nahi chiya kise ki dua nahi chiya apni ammi or papa ki ,"""I don't need anyone else's prayers, I need my parents' prayers.""",positive
 allah apki magfirat kare ,May Allah forgive you.,very positive
 ary newz b pdm ky puppet ban gyi   ,ARY News has become a puppet of PDM (Pakistan Democratic Movement).,neutral
 mian biwi jan bahaq qatil ,The husband-wife duo is a killer.,Negative
 is janwar ko wo straight fires nazar ni aye jo tax payers ko mary gye  hamari paisay py aesh kartay ho or dramy kartay ho agay se. ,"This animal doesn't realize the straight fires that are killing taxpayers, enjoying our money, and playing dramas.",Positive
 masha allah allah pak apnay aman main rakhain ,May Allah keep us in His peace.,very positive
 raj jo kuch ho isharo me bata bhi denaa... haath jab usse milana to daba bhi denaaa.or vese to is khat me koe bat nahi hai.. fir bhi ahtiyatam ise pad lo to jala bhi denaaa... vese is khat me koe bat nahi hai.. qatil  qatil meri sanso me bhi samaya bhi bhut lagta hai... or vahi shaks bhut paraya bhi lagta hai.. qatil or usse milne ki tammnnaa bhi bhut hai par . qatil usse milne me karaya bhi lagta hai qatil ,"""Raj, whatever happens, tell me in hints... when you shake hands, press them firmly... and, although there's nothing in this letter... still, read it carefully and burn it if it seems suspicious... although there's nothing in this letter... but there's a desire to meet him... but, there seems to be a conspiracy in meeting him.""",neutral
 pretty girl to bad in islam misconception plz yai kise ki character killing no karo ,"""Pretty girl to a bad misconception in Islam, please don't kill someone's character like this.""",neutral
 lanat hai is pu ,"""Damn this guy.""",very negative
 lanti kute    teri.........  ,"Cursed dog, your...",very negative
 tumhara weight kab kaam hoga motiiii wo btao... ,"When will your weight ever decrease, fatty? Tell me...",negative
 is babay ko apna nahi pata.. ya banda py year sy pata nahi kya kuch kahy ja raha hai... ap log pata nahi baar bar is ky pas ku interview karnay chaly jatay hu.. is ky ilawa or koe content nahi miltaaplogon ko , This boy doesn't know his own.. This band doesn't know what all is being said this year... You don't even know when it's time for you to do the interview.. This is the light or you don't have any content to meet the people.,negative
 karachi ky hawaly se ehem mulaqatein bhi mutawaqa ,"""Important meetings are also expected regarding Karachi.""",Negative
 chutya bnarha han koe gas nh hai cylinder usi karna prta hai ,"""Someone is making a fool, there's no gas, the cylinder has to be used.""",Negative
 madarchod kuchh bhi pel deti ho ,"""You just throw anything, you ****.""",neutral
 kohda kabi pyar karnay walo ko alag na kry ameen      ,"May God never separate those who love each other, Ameen.",neutral
 lanat hai aisi siyasiyat par pakistan sy qatil acha to taliban hai , Shame on such politics of Pakistan and it is the killer of Taliban.,very negative
 dua ki drkhast han ,"""Request for prayers.""",very positive
 bhi tou hamari gham main shamil the :d ,"Brother, you were also involved in our sorrow :D",Negative
 kalakari to achhi hai par bechare bus wale ki kya galti hai jo iske saath jodidar bana diya ,The artwork is good but what's the fault of the poor bus driver that he has been made a partner in this.,neutral
 uncle ko block kya hva hai warana shukariya kar detyðÿðÿ ,"""What has happened to Uncle, he's blocked, otherwise he would have thanked you.""",Negative
 itni.mohbbat.khuda.se.kar.leta.to.jannat.teri.hoti ,"If only you had loved God so much, then paradise would have been yours. ",neutral
 qatil awww haye bichari :p ,"Killer, poor thing, aww, haha!",very negative
 lala ayaan mare khayal me end pe koe twist hona jab jeya mukamal mohabbat kar bethy ji ,"Lala Ayaan, in my opinion, there should be a twist at the end when Jeya falls in complete love.",Positive
 neend main hai kya yai is cheap insaan ky moo se islam ki batain ni honi chahiye   ,Is he sleeping? Such a cheap person shouldn't speak about Islam.,negative
 saleem safi good ,"""Saleem Safi is good.""",positive
 main saath nahi chorungi ,"""I won't leave you alone.""",positive
 sooraj sitara chand mera saath rahe jab tk tumhara haath mera haath me raha shakhoon sa tott jain wo pattaa nahi hai hummm andhiii s kehh doo ky aukaat main raheee ,"""May the sun, moon, and stars remain with me until your hand remains in mine. Whether the branches break or not, who knows in darkness?""",neutral
 looking very nice and beautiful ayeza ji mashaallah 1     ,"""Looking very nice and beautiful, Ayeza ji, Mashallah.""",positive
 haram ka paisa haram hi hota hi kise gareeb ko daynay pe mout parti hi ,Illegitimate money always remains illegitimate; giving it to the poor results in death.,very negative
 had han ,This is the limit.,very negative
 lanat bayshumar ,Countless curses.,very negative
 alhamdhulilah        ,Alhamdulillah.,very positive
 kya bakwas hai....islam main jis chez par pabandi hai aa ja kar ussi main ghusty hu....jhot par jhoot bool kar apna khud ka beragarak b karna hai or dusru ku b dhoka main rakhna...najoom ka ilam islam main koe haisiyat nahi rakhta hai..lehaza iss amal or iss ilam sy bachy. ,"What nonsense... in Islam, we are supposed to stick to what is allowed, enter into that and deceive ourselves and deceive others... astrology has no place in Islam... so stay away from this practice and this religion.",very negative
 jok dar jok   ,Just kidding.,neutral
 mene galat sara ko tag kardeya wse :p , Why did I tag Sara wrongly :p,Negative
 to kamyab orat hai qatil hum pata ni kamyab hotai b hain ya nahi ðÿðÿ ,"She is a successful woman, killer, we don't know whether we are successful or not ????.",Negative
" saeed anwar ball ko aise maarti the, jaise hathora mar rahe hon ","""Saeed Anwar used to hit the ball as if he's hitting with a hammer.""",Positive
 mujhe nahi lagta khuda or mohabbat se acha drama hai koe ,"""I don't think there's a better drama than 'Khuda aur Mohabbat.'""",positive
 zeher kha lo ,Go eat poison.,very negative
 beghairat log ,"""Shameless people.""",very negative
 wawa kya song hai ,"Wow, what a song! ",positive
 bhagwan ka naam japne ki umar hai faltu ki baat karti ho or ise sayari kahate ho ,"It's the age to recite God's name, you talk nonsense and call it poetry.",neutral
 agarchay aise artists main munni begum or aziz miyan qawaal ka naam bhi shamil hai ,"""Even though artists like Munni Begum and Aziz Mian Qawwal are included in these, such artists...""",Positive
" is liye ab anay wale nahi dramas mien, main baquaida kuch sanjeeda roles mien dikhai dongi "," This is why I don't do any dramas these days, mainly I don't see any serious roles.",Positive
 2 din kaam aye or 3 din bad kharab    ,Work for 2 days and spoil after 3 days.,negative
 lsnt asy logo pr ,Curse on such people...,very negative
 bot vadiya gaya tusi..concept vi bot vadiya aa ,"Well done, you did great... the concept is also great.",very positive
 chutia hai tamatar to fridge main hi theak rehta hai ,"It's foolish, tomatoes are better off in the fridge.",very negative
 kya joker han yai ,"It's their wish, sir.",Positive
 bikhari yn haawi no respect ,"This beggar, this greedy, deserves no respect.",neutral
 11:27 par achnk un ka instructor garhi main sawar ho kar run way par aa gaya or rashid minhas ke hamrah tayyarey main beth gaya ,"""Suddenly, at 11:27, their instructor boarded the car and arrived on the runway and sat in the plane with Rashid Minhas.""",Negative
 allah af logo nasaly tabah oh barbad kardain ameen suma ameen ,"""May Allah destroy all the bad people, Ameen.""",Positive
 bas kar da ab ,"""Stop it now.""",Negative
 han ji ae the chorni ,"Yes, madam, you are the thief.",negative
 qudsia ki hair style bohat accha he ,Qudsia's hairstyle is very nice.,very positive
 is bchy ky prnts tan hain so rhy hain paisay ky nashai main. khuda ra ku gumrah kar rhy hain anay wale nasal ko khuda ka khauf krain kuch khail krain or ya news chnl walay b fazool kisam ki chezo ko pormot krny par lagy hain bjy is ky ko bayhashai ko rokain balkay or barhwa dyny par lagy hain sharam ani chaiy ,"""This child's parents are asleep because they are lost in the love of money. God is misleading future generations, they should fear God, play something, and these news channels are busy promoting useless things instead of stopping this madness, they should feel ashamed.""",neutral
" qatil pichle dinon stain ko kaamyabiyan milein mustaqbil main mamla ulat ho sakta hai, yai nahi samajhna chaheye ke stain ka samina karti howae mujhe koe dushwari hoti hai ","The murderer achieved success in recent days, the situation may change in the future, it should not be understood that I have difficulty in enduring the stain's survival.",Positive
 serial aacha hai lakin clothes qaferoun kai. ,"""The serial is good but the clothes are queer.""",positive
 live dekhi keya pur kaif manazar thay ,Did you see the live view? Amazing scenes.,Positive
 aisi videos yaar. so creative ,"Such videos, buddy. So creative",Positive
 tarse parhe hain log ,People are tired.,Negative
 cherry blossom saala ,"Cherry Blossom, damn it.",Negative
 mashallah nazar na lage ,May the evil eye not affect you.,very positive
 ya allah madad farma ,"Oh Allah, please help.",Positive
" ... jab insaan dheet hota hai to yunhi fazool boli jata hai ,bjaya baat smjhny k,apja kar kise aqal walay sy samjho .. product product ko ronay lage ho, jab dimag clear ho ga to zaban bhi band ho jay geapki ","""When a person is stubborn, they just talk nonsense instead of understanding. Instead of discussing, try to explain it to someone sensible. You're crying over the product, when your mind is clear, your mouth will shut too.",neutral
 bhai aaj last episode daikha mind blowing story ,"Brother, watched the last episode today, mind-blowing story.",very positive
 khuda se mohabbat or maheboob se but khuda hamko dono mil jaye khuda bhi maheboob bhi khuda kise payar karni wale ko juda na kare mare liye dua karna main jisay jahu bo mujhe mil jaye please dua kar daina ,"Love from God and from the beloved, but may God not separate us both, may God not separate the one who loves me, please pray for me to get the one I want.",neutral
 wah mare bhen wah ,"Wow, my sister, wow.",very positive
 masha allah bhut khobsorat lagrhi ho allah apko hamish khush raakhi ,"""Masha Allah, you're looking very beautiful. May Allah keep you always happy.""",very positive
" phir un logo ny he mashwara diya ke is shauk ko agae barhao, tab achnk he mujhe ek serial ke title song ki offer hui ","""Then those people advised me to pursue this hobby further, and suddenly I got an offer for the title song of a serial.""",Positive
 lanat hai tumhari soch per ,"Curse be upon your thinking.""",very negative
 wah wah wah zabardast    ,"""Wow wow wow, excellent.""",very positive
 ahhaha last seeen kammmaaaaaalll hai haqiqat hai qatil ,"""Ahahaha, the last scene is amazing, it's true, murderer.""",Positive
 aa jao gandi bachi ,"Come here, dirty girl.",very negative
 bas bas bhan itna pyar na do sambhala nahi jay gaðÿðÿðÿ ,"Stop it, sis, don't love so much, it can't be controlled.",Positive
" after 1988, jahangir khan was not success ","""After 1988, Jahangir Khan was not successful.""",Negative
 nice khud sab krwa ky khud hi khilaf action lain gy abaplog salute hai apko ,"Nice, you're doing everything yourself and taking actions against yourself. Salute to you guys.",Positive
 allah pak apnay hifzo aman ma rakhy ameeeeeen    ,May Allah protect us in His protection.,very positive
 gaand phatti to lakho paye... tujhay kya lag raha hai ab tujhay nahin uthayain gay       ,"""If your *** was scared, you could have been worth millions... What are you thinking now? They won't spare you.""",very negative
 khi main aa jinnah road numaish chourangi tibet centre jama cloth ky atraf ki galiya barrier laga kar bund kardi gyen qatil  ,"They put barriers around the streets of Jinnah Road, Numaish Chowrangi, Tibet Center, and Jama Cloth in Karachi, killer.",Negative
 allah apki nasloo me khair oh barkat ata kre ,May Allah bless and bring prosperity to your generations.,very positive
 yai b chor hai ,"""He's also a thief.""",negative
 bus dehan se khana pena sab food poison se bch ky ,"""Just be careful while eating and drinking, to avoid food poisoning.""",positive
"apko apni party ki tanzeen saazi by talal chaudri..shahbaz shareef ki marriages and non marriages scandals...zubair ki videos....nawaz shareef's scandles and mariyam nawaz ku dr nahi ban pae   qatil jab b har wasila estemaal kar liya......go and complete your homework.....pakistan ko ab nasal dar nasal ghulami .. payya , nihari ky saath saath mulk khanay walay nahi chaahien...parrhay likhay capable log chaahien .....jahan gareeb ka beta b wahi taleem hasil karay jo ameer ka beta hasil karta hey .....nisaab mey seerat nabvi zaroori qarar paaey.. baaqi plzapandapki supporter party apnayapka and apnay logo ka character certificate paish karay phir kise or pe ungli uthaaey warana tohmat lagaanay walay pe allah ka azab nazil ho amen ","You arrange the organization of your party by Talal Chaudhry... Shahbaz Sharif's marriages and non-marriage scandals... Zubair's videos... Nawaz Sharif's scandals and Mariam Nawaz couldn't become a doctor, murderer, when every means has been used... Go and complete your homework... Pakistan now does not want generation after generation of slavery... People who eat payya and nihari along with the country do not want... Capable educated people want... Where the poor's son can get the same education as the rich's son... The character certificate of your own party and your own people should be presented first, then point fingers at others, otherwise those who accuse will face Allah's punishment, amen.",neutral
 ab sufdha saaf hoga bjp ka ,"""Now the BJP's secret will be revealed.""",neutral
" pia sary ppp ka cota bara huwa hay, sealay ghar beathh kar lay rahay hain, ","The quota of all PPP has increased, and they are seizing houses, sitting at home.",Negative
 aa hano aa khusra panchod   ,"""Come here, you eunuch bast*rd.""",very negative
 ja baldwa dalal beghirat ,"Go away, you shameless pimp.",very negative
 uff dil kharab ho gya. ,"""Oh, my heart is broken.""",negative
 hahahaha yahan se jain or 150 mar aaiyn yai b sun is ki baat ,"""Hahaha, go away from here and die 150 times, hear this too.""",Negative
 yai just employees hain in ke boss nawaz kahndan ko pakrooooo ,"""Among your supporters, Zeenat Begum died in 1954.""",negative
 buhat acha kya tum ny ,You did very well.,very positive
 nhe bruh mare to real life ma bh hen   ,"""No, bro, I'm also in real life.""",neutral
 qatil sirf 11 saal ki umar main hashim ko ek sadmey se dochar hona para tha jaib unke walid sarak ke ek hadsey main helak hue thay ,"Murderer, at the age of only 11, Hashim had to suffer a double blow when his father died in a road accident.",Negative
 han bhenr ach akeli main chugli karun ity public place ty kandha se t manhun wri panji kandaðÿ ,"Sister, should I gossip alone in public, or do you want me to gossip with my shoulder? Damn it, she's really something.",Negative
 buri tarah se ignore hue ho bhaii          ,"Brother, you have been ignored very badly.",neutral
 yai female ke zain na kharab karun yai i driver ki promotion kar rahe han is lei kuch b bol lete han beshak car chala ta lkn bike kbi nahi na inke batu main qatil awww ,"""This female is ruining her mind. We are promoting the driver for no reason. Even though she may drive a car, she never drives a bike in her words. In their minds, there's also a murderer.""",negative
 bekarar hai ,"""He's restless.""",very negative
 pakistani showbiz world main bushra ansari se zayada bharpor or taweel career kise ke hisse main nahi aya ,"""No one in the Pakistani showbiz world has had as fulfilling and lengthy a career as Bushra Ansari.""",Negative
 moral aaj galib sahab ka b py high hai d qatil ,"""Today Ghalib Sahab's morals are also high, murderer.""",Negative
 kuttton ko phansi do      ,Hang the dogs.,very negative
" qatil hnn sahi main or to or new episode ke promo main dekho wo kah raha hai kah bhi ni sakta seh bhi ni sakta.. yai bohot bda plyr lag raha hai mjhe to... qatil or oper se dmra ky teser""s main bhi bohot sare ronewale seen hai jisme murtasim intne jour se gusse main chillata hai meeeeeeruubb .. meerub to gyi kaam.se ","""The murderer is right, and even in the promo of the new episode, he's saying that he can't tolerate or endure anymore... he seems to be a big player to me... the murderer, and on top of that, in the teaser of Damra, there are many heartbreaking scenes in which Murtasim shouts at Meerub in anger... Meerub is in trouble.""",neutral
 isko sunkar rahat milti hai ,"""She finds solace in hearing this.""",positive
 ek tou tera ghar basa rahe hon main qatil ,"I am already living in your house, murderer.",Positive
 waqai yar bohot awsome drama tha :( ,"Truly, it was such an awesome drama.",Positive
 ary mashallah ,"""Wow, mashallah.""",positive
" schai or achai, honesty, loyalty, khandaniyt, struggle, nature, blood, character tou aaj ky zmany main koe dhakta nhe h. 2ndly halal kma ky ic mehngai main koe b banda shadi nhe kar skta... but i realy appreciate kaam z kaam social qatil morality main khuch bhtri hogi. ","""Truth and goodness, honesty, loyalty, heritage, struggle, nature, blood, character are not seen in today's world. Secondly, in this inflation, no one can get married by earning halal income... but I really appreciate that work in this era of social and moral decay.""",negative
 kasam se dil se kah raha hun iss drama ki kahaani bahut khubsorat hai qatil ,"I swear, I'm saying from the heart, the story of this drama is very beautiful, murderer.",positive
 2 kamyab tareen inqalab tha 36 votes qatil ,"It was the second most successful revolution, with 36 votes.",Positive
 han lkn lame e lgrh han ðÿðÿ ,"Yes, but it feels lame.",Negative
 larki kapare to koe suit pehen ky ati upar se bethna kitna ganda han ,"""A girl wears clothes, but sitting cross-legged on top is so dirty.""",very negative
 turkish drama fariha ki story aa totly copy ,"The story of the Turkish drama ""Fariha"" is a total copy.",neutral
 hahahah joht etna bolti yai    ,"""Hahahaha, she talks so much nonsense.""",neutral
 pakistan ma adlya or insad napaid hai yai borhi ho jai ge chakar laga laga ky    ,"In Pakistan, there's no justice or humanity; they'll keep running in circles.",negative
 samosi maree favrt h.    vasy. ,Samosas are my favorite. By the way.,positive
 bat yai han .. ke apki sunta kon hai ðÿ ,"The thing is, who listens to you?",Negative
 bhosdi wale yai dislike kanre wale kon hai ,"""Who are these bastards disliking?""",very positive
" t-shirt kafi achi the or experience iss dafa kafi acha raha hai mera or koe bhi shikayat nahi hai iss se kyunky jaise maine yai picture main dekhi thi, yai bilkul waisay he the or mjhe fitting main bhi bilkul sahi hai or iska stuff bhi kafi acha hai or color bhi acha hai.
 ","""The T-shirt was very good, and the experience this time was also very good for me, and I have no complaints about it because, just like I saw in the picture, it was exactly the same, and the fitting is also perfect for me, and its material is also very good, and the color is also good.""",very positive
 lanat is py louta lante ,"Damn it, returned to this curse.",very negative
 begairat pdm ,"""Shameless PDM.""",very negative
 kotta blawal zrdari galeez insaan khabees chor ka bacha ,"Kutta Bilawal Zardari, galeez insaan, khabees chor ka bacha.",very negative
 astaffirullah allah pak lanat kra and ghark kra ameen sum ameen ,"Astaghfirullah, may Allah curse them and guide them, amen",very negative
 anya kitni pagal han ,How crazy is Anya?,neutral
 wahi to directly paratha banao na rooti bana ky usko kon taal rahe ho      ," Where to directly make paratha or roti, what language do you use ",very positive
 mujra party pa lanat ,Curse be upon the mujra party.,very negative
 ja ban chod harami ,"Go away, you liar.",very negative
 me khati theak ho pata ni kya han muj bta day plz ,I used to eat well; I don't know what's wrong with me. Please tell me.,Negative
 iqra aziz ky jaga kise or ko rakhtay ,"""They should replace Iqra Aziz with someone else.""",neutral
 qatil 7 augusst 1937 ki nawab ahmed yar khan daultana ny apney ek mazmon main yai qatil kiyal zahir keya key congress ki policies ka nateja yaqeenan pakistan ki soorat main baramed hoga ,"On 7th August 1937, Nawab Ahmed Yar Khan Daultana expressed this killer idea in one of his articles that the result of Congress's policies will definitely be reflected in the form of Pakistan.",Positive
 thats why.. women are more powerful than anyone ,That's why women are more powerful than anyone.,positive
 yai bi in ka pasi hi hai .. ,This is also their greed...,neutral
 ek to teri publicity kar raha woh banda nakhre kae ko , Who can see the band doing one to your publicity ,neutral
 janeman sare chizaaay kehlaooo ji treat par ,"""Sweetheart, let's call everything a treat and go for it.""",Positive
 chalo bagherto awam ny tum logo ko riject kar deya he ,"""Alright, change your mindset, the public has rejected you.""",negative
 yai drama turkish drama fariha wala jaisa hai ,"This drama is like the Turkish drama ""Fariha.""",neutral
 wo pehlo badal kar kuch is andaz se bole khudaya koe kalam cheen li ise yai to mar hi dalega qatil ,He changed his stance and spoke in a different manner. May God take away his life; this murderer will surely be punished.,neutral
" yai galat hayapnotification check kare 7 to 11, 9 to 14, 14 to 16 and 16 to 17 ","""This is wrong, check the notification, 7 to 11, 9 to 14, 14 to 16, and 16 to 17.""",very negative
 allah sabar dy ghar walu ko ,"""May Allah give patience to the families.""",very positive
 allah tumhate awlad ko tabah kare agar ap mi koye gaddari han ,May Allah destroy your children if you are involved in any betrayal.,very positive
 allah hamain maf farma. masom log han inhien to exact word b nahi kahna ata ky ya han kiya. afsoos ka muqaam han    ,May Allah forgive us. They are innocent people; we don't even know the exact words to describe them. It's a place of regret.,very positive
 hahahaaplogo ky samina aa gai tooaplogo na drama ky chakar ma sach ma gala hi daba daina han qatil ,"Hahaha, now that you guys are here, you'll probably silence the truth in the name of drama, killer.",Negative
 please dua kar dein mare liye or mare shohar or olad k.liye ky allah dunia or akhirat achi kar day ameen ,"""Please pray for me and my husband and children, that Allah makes our worldly and hereafter life good. Amen.""",very positive
 mare pas bohot acha zabardast kaam hei jitnaapkam kry gyapki direct income apky account mei 10k inbox aa jay watsapp number 923090467692 ,"I have a very good job. Whatever work you do, your direct income of 10k will be in your account. Inbox for WhatsApp number 923090467692.",very positive
 sukr alhamdhulilah ,Thanks be to Allah.,positive
 allah pak apna karam kre aameen ya rab ,"May Allah shower His blessings, Amen, O Lord.",very positive
" yai apki kabar ky lay azab banayega , or sadio yai wabal apko jabar ma takleef pohnchayga ","This will bring torment upon you in your grave, and for years this punishment will inflict pain upon you relentlessly.",very negative
 love you so much song kasam se sun kar bhut sakon milta hai ,"""Love you so much, this song brings a lot of peace.""",very positive
 kuttay patwari lanati ,"""Nawaz, thief family, are all thieves.""",very negative
 bhag jhoti ,"""Run, liar.""",negative
 mian charay maray lan ty ,"""Hit your head on the curb, ****.""",very negative
 master piece hai wakaye yar abhi tak dhakta hou ,"It's a masterpiece, really, I'm watching it right now.",very positive
 bhai to like followers ke kabil hai ,"""Brother is worthy of likes and followers.""",positive
 main ny kal 6 bajy se order kya yakeen karaein ab tk ni mila oper se py bhi credit card se kya hai cash on delivery available hi nahi hai ,"""I placed an order at 6:00 AM yesterday, can you believe it, I haven't received it yet. Also, why is there no cash on delivery option?""",very positive
 oh ghushti randi main ny koe report nahi ki teri texi.... mujhy to tujh texi sy mohabbat ho gye hai.       . pehli baar koe asli randi mili hai jis ky saath baat kar ky maza aya hai. ,"""Oh, you [expletive] whore, I didn't report anything, your taxi... I've fallen in love with your taxi. The first time I've had fun talking to a real whore.""",very negative
 pdm army cheef chor ,PDM is the army's thief.,Negative
 intne niyam kaano bata rahe ho to loan bhi qatil public ko loan bhi dilva do thoda mota kahin se ,"""You're telling so many rules, then also get loans arranged for the public, from somewhere thick.""",neutral
 han kio nahi abt to wo conform janati hain ,"Yes, why not, now she's confirming it.",positive
" chotia anchor, medical report ka zikar hi nahi kar raha ,planted interview hai ","""Small anchor, not even mentioning the medical report, it's a planted interview.""",very negative
 rpg se hamla hojay ga ispay ,There might be an attack with RPG on this.,negative
 masha allah nice song        ,"Masha Allah, nice song.",very positive
 ap ka bhe jawab galat he ,- Your answer is also wrong.,Negative
 darood shareef parh kar muslim dosto ko send karo 1 baar parhnay sy 10 gunah mitaty hain or 10 nikya milti hain qatil ,"""Send Darood Sharif to Muslim friends once, reading it once removes 10 sins and brings 10 rewards, murderer.""",Positive
 all publicity stunts... ,All publicity stunts...,negative
 dhoke baaz gaddar ,"Betrayers, traitors.",negative
 1960 se 1963 takapaik zaheni bemari shez-o-fareniya ke mareez rahe ,"From 1960 to 1963, I suffered from mental illness and schizophrenia.",Negative
 nice ibraar ul haq    ,"""Nice, Ibraar ul Haq.""",positive
 in 5 months khuda or mohabbat haawi 114 million views and mare pas tum ho ost haawi 94 million views in 1 year and 10 months                                                                                            ,"""In the last 5 months, 'Khuda Aur Mohabbat' has 114 million views and 'Mere Paas Tum Ho' OST has 94 million views in 1 year and 10 months.""",neutral
 bakwas bana deya acha khasa serial ko .afsos intne mahino se kitna time waste kya .. meera is the worst character written till date in pak drama ,"""You've turned a good serial into nonsense. It's a shame how much time has been wasted for so many months. Meera is the worst character written till date in Pakistani drama.""",very negative
 bohot pyara song he bhai yai ,"This is a very lovely song, brother.",very positive
 bhut sohna song aa ,Very beautiful song.,very positive
 pakistan walo kya jado kar diya india walo pe sab pakistan ke hi gon ga rahe hai          ,"""Pakistanis have done magic; everyone is blaming the Indians"" Translation: Pakistanis have done magic; everyone is blaming the Indians.",neutral
 eman or amal wale zindge ky liye duaon ki darkhuwast ,A request for prayers for a life of faith and action.,Positive
 bhut khoob song likha bhi acha hai awaaj bhaut achi han model bhi bhut beautiful hai love it ,"""A very good song has been written, it's also good, the voice is very good, the model is also very beautiful, love it.""",very positive
 apki awaz bahut acchi hai aurapbahut acche bolati hai ,Your voice is very nice and you speak very well.,very positive
 kya karna in plastic ky kharbuzon ka   ,What to do with these plastic melons?,neutral
 isko arrest karwao...har py number kaam asaani se seekh kar karti hain or yah chutiye interview layne pohanch jate hain. ,"""Get him arrested... they easily learn how to misuse number work and these idiots end up getting interview calls.""",negative
 zenda bad yar ,"""Long live life, buddy.""",Positive
 hareem shah ke vedios chaye han 3 vedios han awo             ,"""Hareem Shah's videos are available. There are 3 videos, come.""",neutral
 kehi kehi parents apna bachon ko time na den py bacha qatil na umeed hojat or unke life main kami sy rahiti hai . ,"Some parents, by not giving time to their children, make the child lose hope and lack in their life.",neutral
 begahairtoo ka tola pdm ka tola ,"The group of shameless people, the PDM group",very negative
 zardari nawaz dezal ny khareda ho ga ,"Zardari and Nawaz must have bought New Delhi, tomorrow will be Eid, murderer.",neutral
 munh fittay munh hi raha 7 coror ki kidney bech kar bhi besharam ,"You have no shame; even after selling kidneys worth 7 crores, your mouth remains foul. Translation: ""Munh fittay munh hi raha 7 coror ki kidney bech kar bhi besharam.""",negative
 inon ny lun mera karna he ,"""They just want to mess with me.""",Positive
" beshk yahi bat he aisha actually kya he na ajkal sab angaiz banna chahty he wo aurtien hala ky wo to khud ko hee zaleel karti he sarko pe nikal kar wo to propaganda pehlny ky liye higher ki jate he or buht si actresses bhi jis me sab se ouper saba kamar kaho to ghlt na hoga yai aurto ka mind wash krny ky liye paisa lete he bhaer se quran majid me kaha gaya he ky yahood or nasara kabhi tmhry dost nahi hoskty par hum peechy bhi in ky hee he ,ye pakistan ki awm smjhti nahi hala ky kehty agar mulq ko tabh karna ho to unke aurto me bghwat dalo to mulq tbah hojaiga or yai bhi yhi women empowerment ky naam se woman card khail kar mulq ko tbah krny par tuly he unko pata he na musilman kamzor moat ky khoaf se nahi baal ky izzat ky khoaf se hoga aurto ko khench ky gharu ky bhaer niklo ghateya libas or culture lao mulq tbah or is me buht se bekar or ghateya mard bhi shamil he haq kin se laina he bhai se baba se shoahar se kin se inko pata bhi nahi hota ky west me bachy ka baap kon he yai muahshira chye hmri bheno toba ","Indeed, Ayesha, actually, the thing is, these days everyone wants to be impressive, these women even humiliate themselves, going out on the streets, they're hired for propaganda purposes, many actresses, including Saba Qamar, wouldn't be wrong to say, these women's minds are washed for money from abroad, it is written in the Quran that Jews and Christians can never be your friends, but unfortunately, we are behind them, these women know that Muslims are not afraid of death but are afraid of losing their honor, pulling women out of homes, bringing shameless attire and culture, destroy the nation, and many useless men are also included in this, who deserves the rights, from brother, father, husband, who knows who is the father of their child in the west, this society includes our sisters too. Repent.",positive
 patras bokhari sahi maeyno main ek hama geer shksiyat the ,Patras Bokhari was truly a progressive personality.,Positive
 iske price kya han or delivry charges totaly 799 hai ya + delivry charges ,"""What is its price and are delivery charges included in the total of 799 or added to it?""",Negative
 imran khan ki shadio pe toaplogon ko koe takleef na hui.. khair yai to nafsiyati msla hai qatil ,"You people didn't feel bad about Imran Khan's marriage... Well, it's a psychological issue.",Negative
 yai orat march nahi kanjar march hai     ,"""This woman is not a march, she's a pimp march.""",very negative
" police b smart or bahir jaise ho full train ,warna langoor ky hat angoor wale bat ha, 4 dinma toor ky b ga ,achi gov or acha insaaf b hona lazmi han jo ky hani mulk ma. ","""Police should be smart and vigilant like abroad. Otherwise, it's like giving grapes to a monkey. It's necessary to have a good government and good justice system, which is a loss to the country.""",negative
 great ankar imran riaz khan        ,"""Great, Imran Riaz Khan, you've got some nerve, people are being screwed in the country, jerk.""",very positive
 ticket ky b paisay nahi lagy gy     ,You won't have to pay for the ticket.,neutral
 khabeesni 700 ka bhi koe mug hota h  y to khulam khula loot mar hai ,Even a mug worth 700 is stolen openly.,very negative
 kya kirdar nibhaya iqra azez ny veri good &amp; song nice ,"What a character Iqra Aziz portrayed, very good, and the song is nice.",very positive
 pakistan ky paisy zaya kar ry ny ,"""Pakistan's money is being wasted.""",Positive
" theak may pagal, or tum munafiq doughli jo shaheed ki baeewa par sawal urbana apna haq samaghti hay. lanat ho tumhari ess deen daari par jo dosron ky dil dukhaey, jo dosron ki aa sri karay. allah tum sy poochay ky tum kis haq sy ek baeewa sy woh sawal karti phir rahe ho jis ka timhay koe haq nahe. farishtay ess baat ki gawahe dain ky tum kaysay logo nay shaheed ki baeewa ki dil azari ki ess had tak ky woh mount mang rahe hay. ","""Mr. Joker, murderer! 60 years old people have returned to Pakistan, PPP and PML-N.""",negative
 allah reham kry in ky haal py allah sehat tandrusti day ameen ,May Allah have mercy on their condition. May Allah grant them health and wellness. Amen.,very positive
 mera manjan lelo ,Take my tooth powder.,Positive
 ahahaha qatil han bhai hogayi tasalli ,"Ahahaha, murderer, it's reassuring.",Positive
 allah pak hadyet da , God bless you so much,very positive
